"Story","Title","Result","Date","Stability","Duration (s)"
"Reproducir una cancion en Spotify.","Inicio sesión exitoso.","SUCCESS","2023-11-16T10:42:12.968119-05:00[America/Bogota]","0.0","0.25"
"Reproducir una cancion en Spotify.","Inicio sesión exitoso.","SUCCESS","2023-11-16T12:12:55.6339557-05:00[America/Bogota]","0.0","36.5"
